2025-03-05 03:16:22,413 INFO: Machine machine3 initialized with tick rate 97 ticks per second
2025-03-05 03:16:23,157 INFO: Internal event: updated logical clock to 62, system_time=1741162583
2025-03-05 03:16:23,170 INFO: Internal event: updated logical clock to 63, system_time=1741162583
2025-03-05 03:16:23,183 INFO: Internal event: updated logical clock to 64, system_time=1741162583
2025-03-05 03:16:23,194 INFO: Internal event: updated logical clock to 65, system_time=1741162583
2025-03-05 03:16:23,209 INFO: Sent message to localhost:50052: sent_clock=66, system_time=1741162583
2025-03-05 03:16:23,209 INFO: Sent event to localhost:50052: updated logical clock to 66, system_time=1741162583
2025-03-05 03:16:23,218 INFO: Internal event: updated logical clock to 67, system_time=1741162583
2025-03-05 03:16:23,230 INFO: Sent message to localhost:50052: sent_clock=68, system_time=1741162583
2025-03-05 03:16:23,230 INFO: Sent event to localhost:50052: updated logical clock to 68, system_time=1741162583
2025-03-05 03:16:23,240 INFO: Internal event: updated logical clock to 69, system_time=1741162583
2025-03-05 03:16:23,253 INFO: Internal event: updated logical clock to 70, system_time=1741162583
2025-03-05 03:16:23,268 INFO: Sent message to localhost:50051: sent_clock=71, system_time=1741162583
2025-03-05 03:16:23,269 INFO: Sent message to localhost:50052: sent_clock=71, system_time=1741162583
2025-03-05 03:16:23,269 INFO: Broadcast sent: updated logical clock to 71, system_time=1741162583
2025-03-05 03:16:23,278 INFO: Internal event: updated logical clock to 72, system_time=1741162583
2025-03-05 03:16:23,291 INFO: Internal event: updated logical clock to 73, system_time=1741162583
2025-03-05 03:16:23,304 INFO: Internal event: updated logical clock to 74, system_time=1741162583
2025-03-05 03:16:23,316 INFO: Internal event: updated logical clock to 75, system_time=1741162583
2025-03-05 03:16:23,323 INFO: Received message from machine1: received_clock=73, system_time=1741162583
2025-03-05 03:16:23,329 INFO: Processed received message: updated logical clock to 76, system_time=1741162583, queue_length=0
2025-03-05 03:16:23,342 INFO: Internal event: updated logical clock to 77, system_time=1741162583
2025-03-05 03:16:23,356 INFO: Sent message to localhost:50052: sent_clock=78, system_time=1741162583
2025-03-05 03:16:23,356 INFO: Sent event to localhost:50052: updated logical clock to 78, system_time=1741162583
2025-03-05 03:16:23,360 INFO: Received message from machine1: received_clock=74, system_time=1741162583
2025-03-05 03:16:23,366 INFO: Processed received message: updated logical clock to 79, system_time=1741162583, queue_length=0
2025-03-05 03:16:23,381 INFO: Sent message to localhost:50051: sent_clock=80, system_time=1741162583
2025-03-05 03:16:23,383 INFO: Sent message to localhost:50052: sent_clock=80, system_time=1741162583
2025-03-05 03:16:23,383 INFO: Broadcast sent: updated logical clock to 80, system_time=1741162583
2025-03-05 03:16:23,391 INFO: Internal event: updated logical clock to 81, system_time=1741162583
2025-03-05 03:16:23,403 INFO: Internal event: updated logical clock to 82, system_time=1741162583
2025-03-05 03:16:23,418 INFO: Sent message to localhost:50052: sent_clock=83, system_time=1741162583
2025-03-05 03:16:23,418 INFO: Sent event to localhost:50052: updated logical clock to 83, system_time=1741162583
2025-03-05 03:16:23,428 INFO: Internal event: updated logical clock to 84, system_time=1741162583
2025-03-05 03:16:23,440 INFO: Internal event: updated logical clock to 85, system_time=1741162583
2025-03-05 03:16:23,452 INFO: Internal event: updated logical clock to 86, system_time=1741162583
2025-03-05 03:16:23,467 INFO: Sent message to localhost:50051: sent_clock=87, system_time=1741162583
2025-03-05 03:16:23,468 INFO: Sent message to localhost:50052: sent_clock=87, system_time=1741162583
2025-03-05 03:16:23,468 INFO: Broadcast sent: updated logical clock to 87, system_time=1741162583
2025-03-05 03:16:23,478 INFO: Sent message to localhost:50051: sent_clock=88, system_time=1741162583
2025-03-05 03:16:23,478 INFO: Sent event to localhost:50051: updated logical clock to 88, system_time=1741162583
2025-03-05 03:16:23,487 INFO: Internal event: updated logical clock to 89, system_time=1741162583
2025-03-05 03:16:23,500 INFO: Internal event: updated logical clock to 90, system_time=1741162583
2025-03-05 03:16:23,512 INFO: Internal event: updated logical clock to 91, system_time=1741162583
2025-03-05 03:16:23,524 INFO: Internal event: updated logical clock to 92, system_time=1741162583
2025-03-05 03:16:23,540 INFO: Sent message to localhost:50051: sent_clock=93, system_time=1741162583
2025-03-05 03:16:23,541 INFO: Sent message to localhost:50052: sent_clock=93, system_time=1741162583
2025-03-05 03:16:23,542 INFO: Broadcast sent: updated logical clock to 93, system_time=1741162583
2025-03-05 03:16:23,551 INFO: Sent message to localhost:50051: sent_clock=94, system_time=1741162583
2025-03-05 03:16:23,551 INFO: Sent event to localhost:50051: updated logical clock to 94, system_time=1741162583
2025-03-05 03:16:23,563 INFO: Sent message to localhost:50051: sent_clock=95, system_time=1741162583
2025-03-05 03:16:23,563 INFO: Sent event to localhost:50051: updated logical clock to 95, system_time=1741162583
2025-03-05 03:16:23,572 INFO: Internal event: updated logical clock to 96, system_time=1741162583
2025-03-05 03:16:23,583 INFO: Internal event: updated logical clock to 97, system_time=1741162583
2025-03-05 03:16:23,596 INFO: Internal event: updated logical clock to 98, system_time=1741162583
2025-03-05 03:16:23,609 INFO: Internal event: updated logical clock to 99, system_time=1741162583
2025-03-05 03:16:23,621 INFO: Internal event: updated logical clock to 100, system_time=1741162583
2025-03-05 03:16:23,632 INFO: Internal event: updated logical clock to 101, system_time=1741162583
2025-03-05 03:16:23,645 INFO: Internal event: updated logical clock to 102, system_time=1741162583
2025-03-05 03:16:23,647 INFO: Received message from machine2: received_clock=98, system_time=1741162583
2025-03-05 03:16:23,658 INFO: Processed received message: updated logical clock to 103, system_time=1741162583, queue_length=0
2025-03-05 03:16:23,670 INFO: Internal event: updated logical clock to 104, system_time=1741162583
2025-03-05 03:16:23,683 INFO: Internal event: updated logical clock to 105, system_time=1741162583
2025-03-05 03:16:23,697 INFO: Received message from machine2: received_clock=100, system_time=1741162583
2025-03-05 03:16:23,697 INFO: Sent message to localhost:50051: sent_clock=106, system_time=1741162583
2025-03-05 03:16:23,698 INFO: Sent event to localhost:50051: updated logical clock to 106, system_time=1741162583
2025-03-05 03:16:23,708 INFO: Processed received message: updated logical clock to 107, system_time=1741162583, queue_length=0
2025-03-05 03:16:23,718 INFO: Received message from machine2: received_clock=101, system_time=1741162583
2025-03-05 03:16:23,720 INFO: Processed received message: updated logical clock to 108, system_time=1741162583, queue_length=0
2025-03-05 03:16:23,732 INFO: Internal event: updated logical clock to 109, system_time=1741162583
2025-03-05 03:16:23,741 INFO: Received message from machine2: received_clock=102, system_time=1741162583
2025-03-05 03:16:23,745 INFO: Processed received message: updated logical clock to 110, system_time=1741162583, queue_length=0
2025-03-05 03:16:23,757 INFO: Internal event: updated logical clock to 111, system_time=1741162583
2025-03-05 03:16:23,770 INFO: Internal event: updated logical clock to 112, system_time=1741162583
2025-03-05 03:16:23,787 INFO: Sent message to localhost:50051: sent_clock=113, system_time=1741162583
2025-03-05 03:16:23,788 INFO: Received message from machine2: received_clock=104, system_time=1741162583
2025-03-05 03:16:23,793 INFO: Sent message to localhost:50052: sent_clock=113, system_time=1741162583
2025-03-05 03:16:23,793 INFO: Broadcast sent: updated logical clock to 113, system_time=1741162583
2025-03-05 03:16:23,793 INFO: Processed received message: updated logical clock to 114, system_time=1741162583, queue_length=0
2025-03-05 03:16:23,811 INFO: Sent message to localhost:50051: sent_clock=115, system_time=1741162583
2025-03-05 03:16:23,811 INFO: Sent event to localhost:50051: updated logical clock to 115, system_time=1741162583
2025-03-05 03:16:23,818 INFO: Internal event: updated logical clock to 116, system_time=1741162583
2025-03-05 03:16:23,831 INFO: Internal event: updated logical clock to 117, system_time=1741162583
2025-03-05 03:16:23,844 INFO: Internal event: updated logical clock to 118, system_time=1741162583
2025-03-05 03:16:23,856 INFO: Internal event: updated logical clock to 119, system_time=1741162583
2025-03-05 03:16:23,858 INFO: Received message from machine2: received_clock=116, system_time=1741162583
2025-03-05 03:16:23,869 INFO: Processed received message: updated logical clock to 120, system_time=1741162583, queue_length=0
2025-03-05 03:16:23,884 INFO: Sent message to localhost:50052: sent_clock=121, system_time=1741162583
2025-03-05 03:16:23,884 INFO: Sent event to localhost:50052: updated logical clock to 121, system_time=1741162583
2025-03-05 03:16:23,895 INFO: Internal event: updated logical clock to 122, system_time=1741162583
2025-03-05 03:16:23,908 INFO: Internal event: updated logical clock to 123, system_time=1741162583
2025-03-05 03:16:23,922 INFO: Sent message to localhost:50051: sent_clock=124, system_time=1741162583
2025-03-05 03:16:23,922 INFO: Sent event to localhost:50051: updated logical clock to 124, system_time=1741162583
2025-03-05 03:16:23,923 INFO: Received message from machine2: received_clock=123, system_time=1741162583
2025-03-05 03:16:23,933 INFO: Processed received message: updated logical clock to 125, system_time=1741162583, queue_length=0
2025-03-05 03:16:23,946 INFO: Sent message to localhost:50051: sent_clock=126, system_time=1741162583
2025-03-05 03:16:23,947 INFO: Sent message to localhost:50052: sent_clock=126, system_time=1741162583
2025-03-05 03:16:23,947 INFO: Broadcast sent: updated logical clock to 126, system_time=1741162583
2025-03-05 03:16:23,956 INFO: Internal event: updated logical clock to 127, system_time=1741162583
2025-03-05 03:16:23,967 INFO: Internal event: updated logical clock to 128, system_time=1741162583
2025-03-05 03:16:23,981 INFO: Sent message to localhost:50051: sent_clock=129, system_time=1741162583
2025-03-05 03:16:23,981 INFO: Sent event to localhost:50051: updated logical clock to 129, system_time=1741162583
2025-03-05 03:16:23,992 INFO: Internal event: updated logical clock to 130, system_time=1741162583
2025-03-05 03:16:24,006 INFO: Sent message to localhost:50051: sent_clock=131, system_time=1741162584
2025-03-05 03:16:24,006 INFO: Sent event to localhost:50051: updated logical clock to 131, system_time=1741162584
2025-03-05 03:16:24,016 INFO: Internal event: updated logical clock to 132, system_time=1741162584
2025-03-05 03:16:24,028 INFO: Internal event: updated logical clock to 133, system_time=1741162584
2025-03-05 03:16:24,043 INFO: Sent message to localhost:50052: sent_clock=134, system_time=1741162584
2025-03-05 03:16:24,043 INFO: Sent event to localhost:50052: updated logical clock to 134, system_time=1741162584
2025-03-05 03:16:24,053 INFO: Internal event: updated logical clock to 135, system_time=1741162584
2025-03-05 03:16:24,066 INFO: Internal event: updated logical clock to 136, system_time=1741162584
2025-03-05 03:16:24,078 INFO: Internal event: updated logical clock to 137, system_time=1741162584
2025-03-05 03:16:24,091 INFO: Internal event: updated logical clock to 138, system_time=1741162584
2025-03-05 03:16:24,106 INFO: Sent message to localhost:50051: sent_clock=139, system_time=1741162584
2025-03-05 03:16:24,106 INFO: Sent event to localhost:50051: updated logical clock to 139, system_time=1741162584
2025-03-05 03:16:24,117 INFO: Internal event: updated logical clock to 140, system_time=1741162584
2025-03-05 03:16:24,130 INFO: Internal event: updated logical clock to 141, system_time=1741162584
2025-03-05 03:16:24,142 INFO: Internal event: updated logical clock to 142, system_time=1741162584
2025-03-05 03:16:24,157 INFO: Sent message to localhost:50052: sent_clock=143, system_time=1741162584
2025-03-05 03:16:24,158 INFO: Sent event to localhost:50052: updated logical clock to 143, system_time=1741162584
2025-03-05 03:16:24,167 INFO: Internal event: updated logical clock to 144, system_time=1741162584
2025-03-05 03:16:24,178 INFO: Internal event: updated logical clock to 145, system_time=1741162584
2025-03-05 03:16:24,193 INFO: Sent message to localhost:50051: sent_clock=146, system_time=1741162584
2025-03-05 03:16:24,193 INFO: Sent event to localhost:50051: updated logical clock to 146, system_time=1741162584
2025-03-05 03:16:24,203 INFO: Internal event: updated logical clock to 147, system_time=1741162584
2025-03-05 03:16:24,214 INFO: Internal event: updated logical clock to 148, system_time=1741162584
2025-03-05 03:16:24,226 INFO: Internal event: updated logical clock to 149, system_time=1741162584
2025-03-05 03:16:24,238 INFO: Internal event: updated logical clock to 150, system_time=1741162584
2025-03-05 03:16:24,249 INFO: Internal event: updated logical clock to 151, system_time=1741162584
2025-03-05 03:16:24,262 INFO: Internal event: updated logical clock to 152, system_time=1741162584
2025-03-05 03:16:24,275 INFO: Internal event: updated logical clock to 153, system_time=1741162584
2025-03-05 03:16:24,289 INFO: Sent message to localhost:50052: sent_clock=154, system_time=1741162584
2025-03-05 03:16:24,289 INFO: Sent event to localhost:50052: updated logical clock to 154, system_time=1741162584
2025-03-05 03:16:24,298 INFO: Internal event: updated logical clock to 155, system_time=1741162584
2025-03-05 03:16:24,311 INFO: Internal event: updated logical clock to 156, system_time=1741162584
2025-03-05 03:16:24,322 INFO: Internal event: updated logical clock to 157, system_time=1741162584
2025-03-05 03:16:24,335 INFO: Internal event: updated logical clock to 158, system_time=1741162584
2025-03-05 03:16:24,346 INFO: Internal event: updated logical clock to 159, system_time=1741162584
2025-03-05 03:16:24,362 INFO: Sent message to localhost:50051: sent_clock=160, system_time=1741162584
2025-03-05 03:16:24,364 INFO: Sent message to localhost:50052: sent_clock=160, system_time=1741162584
2025-03-05 03:16:24,364 INFO: Broadcast sent: updated logical clock to 160, system_time=1741162584
2025-03-05 03:16:24,371 INFO: Sent message to localhost:50051: sent_clock=161, system_time=1741162584
2025-03-05 03:16:24,373 INFO: Sent message to localhost:50052: sent_clock=161, system_time=1741162584
2025-03-05 03:16:24,373 INFO: Broadcast sent: updated logical clock to 161, system_time=1741162584
2025-03-05 03:16:24,381 INFO: Internal event: updated logical clock to 162, system_time=1741162584
2025-03-05 03:16:24,394 INFO: Internal event: updated logical clock to 163, system_time=1741162584
2025-03-05 03:16:24,409 INFO: Sent message to localhost:50051: sent_clock=164, system_time=1741162584
2025-03-05 03:16:24,410 INFO: Sent event to localhost:50051: updated logical clock to 164, system_time=1741162584
2025-03-05 03:16:24,419 INFO: Internal event: updated logical clock to 165, system_time=1741162584
2025-03-05 03:16:24,432 INFO: Internal event: updated logical clock to 166, system_time=1741162584
2025-03-05 03:16:24,448 INFO: Sent message to localhost:50051: sent_clock=167, system_time=1741162584
2025-03-05 03:16:24,448 INFO: Sent event to localhost:50051: updated logical clock to 167, system_time=1741162584
2025-03-05 03:16:24,456 INFO: Internal event: updated logical clock to 168, system_time=1741162584
2025-03-05 03:16:24,469 INFO: Internal event: updated logical clock to 169, system_time=1741162584
2025-03-05 03:16:24,484 INFO: Sent message to localhost:50051: sent_clock=170, system_time=1741162584
2025-03-05 03:16:24,485 INFO: Sent message to localhost:50052: sent_clock=170, system_time=1741162584
2025-03-05 03:16:24,485 INFO: Broadcast sent: updated logical clock to 170, system_time=1741162584
2025-03-05 03:16:24,493 INFO: Internal event: updated logical clock to 171, system_time=1741162584
2025-03-05 03:16:24,506 INFO: Internal event: updated logical clock to 172, system_time=1741162584
2025-03-05 03:16:24,519 INFO: Internal event: updated logical clock to 173, system_time=1741162584
2025-03-05 03:16:24,532 INFO: Internal event: updated logical clock to 174, system_time=1741162584
2025-03-05 03:16:24,544 INFO: Internal event: updated logical clock to 175, system_time=1741162584
2025-03-05 03:16:24,557 INFO: Internal event: updated logical clock to 176, system_time=1741162584
2025-03-05 03:16:24,570 INFO: Internal event: updated logical clock to 177, system_time=1741162584
2025-03-05 03:16:24,583 INFO: Internal event: updated logical clock to 178, system_time=1741162584
2025-03-05 03:16:24,585 INFO: Received message from machine2: received_clock=175, system_time=1741162584
2025-03-05 03:16:24,594 INFO: Processed received message: updated logical clock to 179, system_time=1741162584, queue_length=0
2025-03-05 03:16:24,607 INFO: Internal event: updated logical clock to 180, system_time=1741162584
2025-03-05 03:16:24,619 INFO: Internal event: updated logical clock to 181, system_time=1741162584
2025-03-05 03:16:24,632 INFO: Internal event: updated logical clock to 182, system_time=1741162584
2025-03-05 03:16:24,639 INFO: Received message from machine2: received_clock=177, system_time=1741162584
2025-03-05 03:16:24,644 INFO: Processed received message: updated logical clock to 183, system_time=1741162584, queue_length=0
2025-03-05 03:16:24,655 INFO: Internal event: updated logical clock to 184, system_time=1741162584
2025-03-05 03:16:24,668 INFO: Internal event: updated logical clock to 185, system_time=1741162584
2025-03-05 03:16:24,679 INFO: Internal event: updated logical clock to 186, system_time=1741162584
2025-03-05 03:16:24,679 INFO: Received message from machine2: received_clock=179, system_time=1741162584
2025-03-05 03:16:24,691 INFO: Processed received message: updated logical clock to 187, system_time=1741162584, queue_length=0
2025-03-05 03:16:24,701 INFO: Received message from machine2: received_clock=180, system_time=1741162584
2025-03-05 03:16:24,703 INFO: Processed received message: updated logical clock to 188, system_time=1741162584, queue_length=0
2025-03-05 03:16:24,716 INFO: Sent message to localhost:50051: sent_clock=189, system_time=1741162584
2025-03-05 03:16:24,718 INFO: Sent message to localhost:50052: sent_clock=189, system_time=1741162584
2025-03-05 03:16:24,718 INFO: Broadcast sent: updated logical clock to 189, system_time=1741162584
2025-03-05 03:16:24,727 INFO: Internal event: updated logical clock to 190, system_time=1741162584
2025-03-05 03:16:24,738 INFO: Internal event: updated logical clock to 191, system_time=1741162584
2025-03-05 03:16:24,750 INFO: Internal event: updated logical clock to 192, system_time=1741162584
2025-03-05 03:16:24,765 INFO: Sent message to localhost:50051: sent_clock=193, system_time=1741162584
2025-03-05 03:16:24,766 INFO: Sent event to localhost:50051: updated logical clock to 193, system_time=1741162584
2025-03-05 03:16:24,775 INFO: Internal event: updated logical clock to 194, system_time=1741162584
2025-03-05 03:16:24,786 INFO: Internal event: updated logical clock to 195, system_time=1741162584
