2025-03-05 02:39:38,691 INFO: Machine machine2 initialized with tick rate 5 ticks per second
2025-03-05 02:39:38,697 INFO: gRPC server started on port 50052
2025-03-05 02:39:56,794 INFO: Sent message to localhost:50053: sent_clock=90, system_time=1741160396
2025-03-05 02:39:56,794 INFO: Broadcast sent: updated logical clock to 90, system_time=1741160396
2025-03-05 02:39:56,995 INFO: Internal event: updated logical clock to 91, system_time=1741160396
2025-03-05 02:39:57,201 INFO: Sent message to localhost:50051: sent_clock=92, system_time=1741160397
2025-03-05 02:39:57,202 INFO: Sent event to localhost:50051: updated logical clock to 92, system_time=1741160397
2025-03-05 02:39:57,404 INFO: Internal event: updated logical clock to 93, system_time=1741160397
2025-03-05 02:39:57,604 INFO: Internal event: updated logical clock to 94, system_time=1741160397
2025-03-05 02:39:57,810 INFO: Sent message to localhost:50051: sent_clock=95, system_time=1741160397
2025-03-05 02:39:57,812 INFO: Sent message to localhost:50053: sent_clock=95, system_time=1741160397
2025-03-05 02:39:57,812 INFO: Broadcast sent: updated logical clock to 95, system_time=1741160397
2025-03-05 02:39:58,017 INFO: Sent message to localhost:50051: sent_clock=96, system_time=1741160398
2025-03-05 02:39:58,020 INFO: Sent message to localhost:50053: sent_clock=96, system_time=1741160398
2025-03-05 02:39:58,020 INFO: Broadcast sent: updated logical clock to 96, system_time=1741160398
2025-03-05 02:39:58,219 INFO: Sent message to localhost:50051: sent_clock=97, system_time=1741160398
2025-03-05 02:39:58,221 INFO: Sent message to localhost:50053: sent_clock=97, system_time=1741160398
2025-03-05 02:39:58,221 INFO: Broadcast sent: updated logical clock to 97, system_time=1741160398
2025-03-05 02:39:58,424 INFO: Sent message to localhost:50051: sent_clock=98, system_time=1741160398
2025-03-05 02:39:58,424 INFO: Sent event to localhost:50051: updated logical clock to 98, system_time=1741160398
2025-03-05 02:39:58,627 INFO: Internal event: updated logical clock to 99, system_time=1741160398
2025-03-05 02:39:58,832 INFO: Internal event: updated logical clock to 100, system_time=1741160398
2025-03-05 02:39:59,036 INFO: Sent message to localhost:50051: sent_clock=101, system_time=1741160399
2025-03-05 02:39:59,039 INFO: Sent message to localhost:50053: sent_clock=101, system_time=1741160399
