2025-03-05 03:34:41,976 INFO: Machine machine2 initialized with tick rate 2 ticks per second
2025-03-05 03:35:05,157 INFO: Sent event to localhost:50051: updated logical clock to 47, system_time=1741163705
2025-03-05 03:35:05,657 INFO: Sent message to localhost:50051: sent_clock=48, system_time=1741163705
2025-03-05 03:35:05,657 INFO: Sent event to localhost:50051: updated logical clock to 48, system_time=1741163705
2025-03-05 03:35:06,159 INFO: Sent message to localhost:50051: sent_clock=49, system_time=1741163706
2025-03-05 03:35:06,162 INFO: Sent message to localhost:50053: sent_clock=49, system_time=1741163706
2025-03-05 03:35:06,162 INFO: Broadcast sent: updated logical clock to 49, system_time=1741163706
2025-03-05 03:35:06,660 INFO: Sent message to localhost:50051: sent_clock=50, system_time=1741163706
2025-03-05 03:35:06,661 INFO: Sent event to localhost:50051: updated logical clock to 50, system_time=1741163706
2025-03-05 03:35:07,168 INFO: Sent message to localhost:50051: sent_clock=51, system_time=1741163707
2025-03-05 03:35:07,168 INFO: Sent event to localhost:50051: updated logical clock to 51, system_time=1741163707
2025-03-05 03:35:07,666 INFO: Internal event: updated logical clock to 52, system_time=1741163707
2025-03-05 03:35:08,058 INFO: Received message from machine3: received_clock=51, system_time=1741163708
2025-03-05 03:35:08,166 INFO: Processed received message: updated logical clock to 53, system_time=1741163708, queue_length=0
2025-03-05 03:35:08,672 INFO: Sent message to localhost:50051: sent_clock=54, system_time=1741163708
2025-03-05 03:35:08,675 INFO: Sent message to localhost:50053: sent_clock=54, system_time=1741163708
2025-03-05 03:35:08,675 INFO: Broadcast sent: updated logical clock to 54, system_time=1741163708
2025-03-05 03:35:09,176 INFO: Sent message to localhost:50051: sent_clock=55, system_time=1741163709
2025-03-05 03:35:09,177 INFO: Sent event to localhost:50051: updated logical clock to 55, system_time=1741163709
2025-03-05 03:35:09,678 INFO: Sent message to localhost:50051: sent_clock=56, system_time=1741163709
2025-03-05 03:35:09,682 INFO: Sent message to localhost:50053: sent_clock=56, system_time=1741163709
2025-03-05 03:35:09,682 INFO: Broadcast sent: updated logical clock to 56, system_time=1741163709
2025-03-05 03:35:10,181 INFO: Sent message to localhost:50051: sent_clock=57, system_time=1741163710
2025-03-05 03:35:10,184 INFO: Sent message to localhost:50053: sent_clock=57, system_time=1741163710
2025-03-05 03:35:10,184 INFO: Broadcast sent: updated logical clock to 57, system_time=1741163710
2025-03-05 03:35:10,685 INFO: Sent message to localhost:50053: sent_clock=58, system_time=1741163710
2025-03-05 03:35:10,685 INFO: Sent event to localhost:50053: updated logical clock to 58, system_time=1741163710
2025-03-05 03:35:11,188 INFO: Sent message to localhost:50051: sent_clock=59, system_time=1741163711
2025-03-05 03:35:11,188 INFO: Sent event to localhost:50051: updated logical clock to 59, system_time=1741163711
2025-03-05 03:35:11,689 INFO: Sent message to localhost:50053: sent_clock=60, system_time=1741163711
2025-03-05 03:35:11,689 INFO: Sent event to localhost:50053: updated logical clock to 60, system_time=1741163711
